name,tags,time,time_iso,application_id,device_eui,device_id,device_name,device_tags,device_type_id,device_type_name,orig_value,value,value_type_name,variable
number,,1707907806000000000,2024-02-14T10:50:06.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707908086000000000,2024-02-14T10:54:46.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707914764000000000,2024-02-14T12:46:04.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707914962000000000,2024-02-14T12:49:22.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707930068000000000,2024-02-14T17:01:08.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930178000000000,2024-02-14T17:02:58.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930363000000000,2024-02-14T17:06:03.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930371000000000,2024-02-14T17:06:11.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930502000000000,2024-02-14T17:08:22.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930565000000000,2024-02-14T17:09:25.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930572000000000,2024-02-14T17:09:32.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930581000000000,2024-02-14T17:09:41.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930745000000000,2024-02-14T17:12:25.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707930754000000000,2024-02-14T17:12:34.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707931920000000000,2024-02-14T17:32:00.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707931982000000000,2024-02-14T17:33:02.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707932043000000000,2024-02-14T17:34:03.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707932053000000000,2024-02-14T17:34:13.000Z,244,0080E115004E557C,13395,2309RMI0635 Parkpalette,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
