name,tags,time,time_iso,application_id,device_eui,device_id,device_name,device_tags,device_type_id,device_type_name,orig_value,value,value_type_name,variable
number,,1707911560000000000,2024-02-14T11:52:40.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707920027000000000,2024-02-14T14:13:47.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707920089000000000,2024-02-14T14:14:49.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707930047000000000,2024-02-14T17:00:47.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707930056000000000,2024-02-14T17:00:56.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707930765000000000,2024-02-14T17:12:45.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930775000000000,2024-02-14T17:12:55.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930786000000000,2024-02-14T17:13:06.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930798000000000,2024-02-14T17:13:18.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930826000000000,2024-02-14T17:13:46.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930837000000000,2024-02-14T17:13:57.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930847000000000,2024-02-14T17:14:07.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930859000000000,2024-02-14T17:14:19.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707930888000000000,2024-02-14T17:14:48.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930900000000000,2024-02-14T17:15:00.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930912000000000,2024-02-14T17:15:12.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930918000000000,2024-02-14T17:15:18.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707930930000000000,2024-02-14T17:15:30.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707931023000000000,2024-02-14T17:17:03.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707931126000000000,2024-02-14T17:18:46.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707931138000000000,2024-02-14T17:18:58.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707931190000000000,2024-02-14T17:19:50.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707931205000000000,2024-02-14T17:20:05.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707931338000000000,2024-02-14T17:22:18.000Z,244,0080E115004E7217,13393,2309RMI0631,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
