name,tags,time,time_iso,application_id,device_eui,device_id,device_name,device_tags,device_type_id,device_type_name,orig_value,value,value_type_name,variable
number,,1707952692000000000,2024-02-14T23:18:12.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707952703000000000,2024-02-14T23:18:23.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707952714000000000,2024-02-14T23:18:34.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707952725000000000,2024-02-14T23:18:45.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707952753000000000,2024-02-14T23:19:13.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707952847000000000,2024-02-14T23:20:47.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707952857000000000,2024-02-14T23:20:57.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707952868000000000,2024-02-14T23:21:08.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707952880000000000,2024-02-14T23:21:20.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707952915000000000,2024-02-14T23:21:55.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707952924000000000,2024-02-14T23:22:04.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707952934000000000,2024-02-14T23:22:14.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707952946000000000,2024-02-14T23:22:26.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707952976000000000,2024-02-14T23:22:56.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707952987000000000,2024-02-14T23:23:07.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707953243000000000,2024-02-14T23:27:23.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953428000000000,2024-02-14T23:30:28.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707953434000000000,2024-02-14T23:30:34.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707953446000000000,2024-02-14T23:30:46.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707953457000000000,2024-02-14T23:30:57.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707953470000000000,2024-02-14T23:31:10.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707953558000000000,2024-02-14T23:32:38.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953569000000000,2024-02-14T23:32:49.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953579000000000,2024-02-14T23:32:59.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953645000000000,2024-02-14T23:34:05.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953716000000000,2024-02-14T23:35:16.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953793000000000,2024-02-14T23:36:33.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707953987000000000,2024-02-14T23:39:47.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707954013000000000,2024-02-14T23:40:13.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707954089000000000,2024-02-14T23:41:29.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707954160000000000,2024-02-14T23:42:40.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707954237000000000,2024-02-14T23:43:57.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707954309000000000,2024-02-14T23:45:09.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708308544000000000,2024-02-19T02:09:04.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708310370000000000,2024-02-19T02:39:30.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708310381000000000,2024-02-19T02:39:41.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708310391000000000,2024-02-19T02:39:51.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708310403000000000,2024-02-19T02:40:03.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708310432000000000,2024-02-19T02:40:32.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708310616000000000,2024-02-19T02:43:36.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708310832000000000,2024-02-19T02:47:12.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1708310843000000000,2024-02-19T02:47:23.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1708310854000000000,2024-02-19T02:47:34.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1708310865000000000,2024-02-19T02:47:45.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1708310955000000000,2024-02-19T02:49:15.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708310964000000000,2024-02-19T02:49:24.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708310975000000000,2024-02-19T02:49:35.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708310986000000000,2024-02-19T02:49:46.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708311016000000000,2024-02-19T02:50:16.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1708311029000000000,2024-02-19T02:50:29.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1708311076000000000,2024-02-19T02:51:16.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708311087000000000,2024-02-19T02:51:27.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708311095000000000,2024-02-19T02:51:35.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708311104000000000,2024-02-19T02:51:44.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708311869000000000,2024-02-19T03:04:29.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708311878000000000,2024-02-19T03:04:38.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708311887000000000,2024-02-19T03:04:47.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708312028000000000,2024-02-19T03:07:08.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708312456000000000,2024-02-19T03:14:16.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708312468000000000,2024-02-19T03:14:28.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708312644000000000,2024-02-19T03:17:24.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708312655000000000,2024-02-19T03:17:35.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708312667000000000,2024-02-19T03:17:47.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1708312734000000000,2024-02-19T03:18:54.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708312744000000000,2024-02-19T03:19:04.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1708369777000000000,2024-02-19T19:09:37.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1708792535000000000,2024-02-24T16:35:35.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709052520000000000,2024-02-27T16:48:40.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709225497000000000,2024-02-29T16:51:37.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709276905000000000,2024-03-01T07:08:25.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709276916000000000,2024-03-01T07:08:36.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709276926000000000,2024-03-01T07:08:46.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709276937000000000,2024-03-01T07:08:57.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1709277099000000000,2024-03-01T07:11:39.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1709277108000000000,2024-03-01T07:11:48.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1709277118000000000,2024-03-01T07:11:58.000Z,244,0080E115004E5F42,13384,2309RMI0624,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
