name,tags,time,time_iso,application_id,device_eui,device_id,device_name,device_tags,device_type_id,device_type_name,orig_value,value,value_type_name,variable
number,,1707907905000000000,2024-02-14T10:51:45.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707908020000000000,2024-02-14T10:53:40.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707932644000000000,2024-02-14T17:44:04.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707932702000000000,2024-02-14T17:45:02.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707932942000000000,2024-02-14T17:49:02.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707933513000000000,2024-02-14T17:58:33.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707933575000000000,2024-02-14T17:59:35.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707933856000000000,2024-02-14T18:04:16.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707934659000000000,2024-02-14T18:17:39.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707935324000000000,2024-02-14T18:28:44.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707935543000000000,2024-02-14T18:32:23.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707938638000000000,2024-02-14T19:23:58.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707938699000000000,2024-02-14T19:24:59.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707939056000000000,2024-02-14T19:30:56.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707939179000000000,2024-02-14T19:32:59.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707939423000000000,2024-02-14T19:37:03.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707939486000000000,2024-02-14T19:38:06.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707939651000000000,2024-02-14T19:40:51.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,1,1,Number,rain
number,,1707939835000000000,2024-02-14T19:43:55.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707939896000000000,2024-02-14T19:44:56.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707939980000000000,2024-02-14T19:46:20.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707951360000000000,2024-02-14T22:56:00.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
number,,1707951426000000000,2024-02-14T22:57:06.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707951484000000000,2024-02-14T22:58:04.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,3,3,Number,rain
number,,1707951606000000000,2024-02-14T23:00:06.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,2,2,Number,rain
number,,1707952074000000000,2024-02-14T23:07:54.000Z,244,0080E115004E1E54,13401,2309RMI0641,|niota-created|,288,Nivus RMI Starkregenintensitätssystem,0,0,Number,rain
